Job_Title,Salary_Estimate,Company_Name,Location,Headquarters,Industry,Sector,Revenue,Competitors,Hourly,Employer_provided,Min_Salary,Max_Salary,Avg_Salary,company_txt,Job_Location,Python,Spark,AWS,Excel,SQL,SAS,Keras,PyTorch,Scikit_Learn,TensorFlow,Hadoop,Tableau,Power_BI,Flink,MongoDB,Google_Analytics,Job_Category,Seniority_Title,Degree_Required,Company_Rating,State_Wise,Company_Man_Power,Company_Man_Power_Category,Founded_Year,Company_Age,Ownership_Type
data scientist,$53K-$91K (Glassdoor est.),Tecolote Research,"Albuquerque, NM","Goleta, CA",Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),-1,0,0,53,91,72.0,Tecolote Research,NM,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,Data Scientist,Not Specified,Masters,3.8,NM,501 - 1000,Medium,1973,53,Private
healthcare data scientist,$63K-$112K (Glassdoor est.),University of Maryland Medical System,"Linthicum, MD","Baltimore, MD",Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,0,0,63,112,87.5,University of Maryland Medical System,MD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Masters,3.4,MD,10000+,Very Large,1984,42,Other
data scientist,$80K-$90K (Glassdoor est.),KnowBe4,"Clearwater, FL","Clearwater, FL",Security Services,Business Services,$100 to $500 million (USD),-1,0,0,80,90,85.0,KnowBe4,FL,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Masters,4.8,FL,501 - 1000,Medium,2010,16,Private
data scientist,$56K-$97K (Glassdoor est.),PNNL,"Richland, WA","Richland, WA",Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,56,97,76.5,PNNL,WA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Not_Specified,3.8,WA,1001 - 5000,Large,1965,61,Government
data scientist,$86K-$143K (Glassdoor est.),Affinity Solutions,"New York, NY","New York, NY",Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee",0,0,86,143,114.5,Affinity Solutions,NY,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Not_Specified,2.9,NY,51 - 200,Small,1998,28,Private
data scientist,$71K-$119K (Glassdoor est.),CyrusOne,"Dallas, TX","Dallas, TX",Real Estate,Real Estate,$1 to $2 billion (USD),"Digital Realty, CoreSite, Equinix",0,0,71,119,95.0,CyrusOne,TX,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,Data Scientist,Not Specified,Not_Specified,3.4,TX,201 - 500,Medium,2000,26,Public
data scientist,$54K-$93K (Glassdoor est.),ClearOne Advantage,"Baltimore, MD","Baltimore, MD",Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1,0,0,54,93,73.5,ClearOne Advantage,MD,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Not_Specified,4.1,MD,501 - 1000,Medium,2008,18,Private
data scientist,$86K-$142K (Glassdoor est.),Logic20/20,"San Jose, CA","Seattle, WA",Consulting,Business Services,$25 to $50 million (USD),-1,0,0,86,142,114.0,Logic20/20,CA,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,Data Scientist,Not Specified,Masters,3.8,CA,201 - 500,Medium,2005,21,Private
research scientist,$38K-$84K (Glassdoor est.),Rochester Regional Health,"Rochester, NY","Rochester, NY",Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1,0,0,38,84,61.0,Rochester Regional Health,NY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Not Specified,PhD,3.3,NY,10000+,Very Large,2014,12,Healthcare
data scientist,$120K-$160K (Glassdoor est.),<intent>,"New York, NY","New York, NY",Internet,Information Technology,$100 to $500 million (USD),"Clicktripz, SmarterTravel",0,0,120,160,140.0,<intent>,NY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Not_Specified,4.6,NY,51 - 200,Small,2009,17,Private
data scientist,$126K-$201K (Glassdoor est.),Wish,"San Jose, CA","San Francisco, CA",Other Retail Stores,Retail,$1 to $2 billion (USD),-1,0,0,126,201,163.5,Wish,CA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Not_Specified,3.5,CA,501 - 1000,Medium,2011,15,Private
data scientist,$64K-$106K (Glassdoor est.),ManTech,"Chantilly, VA","Herndon, VA",Research & Development,Business Services,$1 to $2 billion (USD),-1,0,0,64,106,85.0,ManTech,VA,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Data Scientist,Not Specified,Not_Specified,4.1,VA,5001 - 10000,Large,1968,58,Public
staff data scientist   technology,$106K-$172K (Glassdoor est.),Walmart,"Plano, TX","Bentonville, AR","Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),"Target, Costco Wholesale, Amazon",0,0,106,172,139.0,Walmart,TX,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Data Scientist,Not Specified,Masters,3.2,TX,10000+,Very Large,1962,64,Public
data analyst,$46K-$85K (Glassdoor est.),Yesler,"Seattle, WA","Seattle, WA",Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,0,0,46,85,65.5,Yesler,WA,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,Data Analyst,Not Specified,Not_Specified,4.1,WA,201 - 500,Medium,2012,14,Private
